                   ╭------------------------------------╮
              Type | Engine                             |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 2                                  |
             Title | The Grain Engine                   |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Wood                               |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Bake Bread                         |
       Description | You may trash 1 Grain for any 1 Re |
                   | source, any number of times.       |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 2.6470588235294117                 |
  Est. Actions Max | 2.6470588235294117                 |
Est. VP/Action Min | 11.333333333333334                 |
Est. VP/Action Max |                                    |
             Snark | A solid choice, but be sure to com |
                   | mit to it.                         |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 2                                  |
             Title | The Grain Engine                   |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Wood                               |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Bake Bread                         |
       Description | You may trash 1 Grain for any 1 Re |
                   | source, any number of times.       |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 2.6470588235294117                 |
  Est. Actions Max | 2.6470588235294117                 |
Est. VP/Action Min | 11.333333333333334                 |
Est. VP/Action Max |                                    |
             Snark | A solid choice, but be sure to com |
                   | mit to it.                         |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 2                                  |
             Title | The Animal Engine                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Clay                               |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Insta-slaughter                    |
       Description | You may trash 1 Animal for any 1 R |
                   | esource, any number of times.      |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 2.6923076923076925                 |
  Est. Actions Max | 2.6923076923076925                 |
Est. VP/Action Min | 7.428571428571428                  |
Est. VP/Action Max |                                    |
             Snark | Let's just say you should be happy |
                   |  this card has no artwork.         |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 2                                  |
             Title | The Animal Engine                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Clay                               |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Insta-slaughter                    |
       Description | You may trash 1 Animal for any 1 R |
                   | esource, any number of times.      |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 2.6923076923076925                 |
  Est. Actions Max | 2.6923076923076925                 |
Est. VP/Action Min | 7.428571428571428                  |
Est. VP/Action Max |                                    |
             Snark | Let's just say you should be happy |
                   |  this card has no artwork.         |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 3                                  |
             Title | The Ladder Engine                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Trash-n-Climb                      |
       Description | Once per turn, you may trash 1 car |
                   | d in your hand or 1 Resource card  |
                   | on your tableau to Climb a Ladder  |
                   | 1 space.                           |
                VP | 20                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 20.0                               |
Est. VP/Action Max |                                    |
             Snark | See you at the top!                |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 3                                  |
             Title | The Ladder Engine                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Trash-n-Climb                      |
       Description | Once per turn, you may trash 1 car |
                   | d in your hand or 1 Resource card  |
                   | on your tableau to Climb a Ladder  |
                   | 1 space.                           |
                VP | 20                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 20.0                               |
Est. VP/Action Max |                                    |
             Snark | See you at the top!                |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 3                                  |
             Title | The Ladder Engine                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Trash-n-Climb                      |
       Description | Once per turn, you may trash 1 car |
                   | d in your hand or 1 Resource card  |
                   | on your tableau to Climb a Ladder  |
                   | 1 space.                           |
                VP | 20                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 20.0                               |
Est. VP/Action Max |                                    |
             Snark | See you at the top!                |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Early Investment               |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Invested                           |
       Description | You may only play this card before |
                   |  playing an Engine. This card has  |
                   | no special ability.                |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 15.0                               |
Est. VP/Action Max |                                    |
             Snark | Does nothing now, but it will pay  |
                   | off later. The engine can wait.    |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 2                                  |
             Title | Grain Breed!                       |
            Bonus1 | Grain                              |
            Bonus2 | Grain                              |
            Trash1 | Grain                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | You may trash this card for 1 Food |
                   | .                                  |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 6.666666666666667                  |
Est. VP/Action Max |                                    |
             Snark | Grain: the sheep of plants.        |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 2                                  |
             Title | Grain Breed!                       |
            Bonus1 | Grain                              |
            Bonus2 | Grain                              |
            Trash1 | Grain                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | You may trash this card for 1 Food |
                   | .                                  |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 6.666666666666667                  |
Est. VP/Action Max |                                    |
             Snark | Grain: the sheep of plants.        |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Wildcard Building              |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Silk Trade                         |
       Description | You may trash 1 Silk for any 2 Res |
                   | ources, any number of times.       |
                VP | 50                                 |
        VP + Climb | 50                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 5.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max | 25.0                               |
             Snark | Be sure to take this from someone  |
                   | who has collected silk.            |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 3                                  |
             Title | Sheep Breed!                       |
            Bonus1 | Sheep                              |
            Bonus2 | Sheep                              |
            Trash1 | Sheep                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Sheep: the rabbits of farm animals |
                   | .                                  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 3                                  |
             Title | Sheep Breed!                       |
            Bonus1 | Sheep                              |
            Bonus2 | Sheep                              |
            Trash1 | Sheep                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Sheep: the rabbits of farm animals |
                   | .                                  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 3                                  |
             Title | Sheep Breed!                       |
            Bonus1 | Sheep                              |
            Bonus2 | Sheep                              |
            Trash1 | Sheep                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Sheep: the rabbits of farm animals |
                   | .                                  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | Early Sheep Climb!                 |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Sheep                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Upon playing, climb 1 rung on a La |
                   | dder                               |
                VP | 10                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | I smell a strategy brewing…        |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Stone Building Building Buildi |
                   | ng                                 |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Stone                              |
            Trash2 |                                    |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Stone Building                     |
       Description | You do not need to pay any require |
                   | d Stone for Buildings.             |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 6.0                                |
Est. VP/Action Min | 3.3333333333333335                 |
Est. VP/Action Max | 6.666666666666667                  |
             Snark | Technically, we're just a shack ma |
                   | de out of fiberglass, but this gam |
                   | e doesn't need another resource.   |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Wood Building Building Buildin |
                   | g                                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Wood                               |
            Trash2 |                                    |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Wood Building                      |
       Description | You do not need to pay any require |
                   | d Wood for Buildings               |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 2.6470588235294117                 |
  Est. Actions Max | 5.647058823529411                  |
Est. VP/Action Min | 3.541666666666667                  |
Est. VP/Action Max | 7.555555555555555                  |
             Snark | Not to be confused with the Buildi |
                   | ng Wood Building, which is what we |
                   |  call our indoor arboretum         |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Clay Building Building Buildin |
                   | g                                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Clay                               |
            Trash2 |                                    |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Clay Building                      |
       Description | You do not need to pay any require |
                   | d Clay for Buildings.              |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 2.6923076923076925                 |
  Est. Actions Max | 5.6923076923076925                 |
Est. VP/Action Min | 3.5135135135135136                 |
Est. VP/Action Max | 7.428571428571428                  |
             Snark | We need some seed Clay for breedin |
                   | g.                                 |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The "Free" Soldier                 |
            Bonus1 | Soldier                            |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 | Army                               |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 10                                 |
        VP + Climb | 10                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 4.0                                |
Est. VP/Action Min | 2.5                                |
Est. VP/Action Max | 5.0                                |
             Snark | What's the catch?                  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Obligatory Trader              |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | 2:1 Trade                          |
       Description | You may substitute 2 different Res |
                   | ources for 1 of any Resource, any  |
                   | number of times.                   |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 15.0                               |
Est. VP/Action Max |                                    |
             Snark | I'm sure I'll use this enough to j |
                   | ustify its purchase.               |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 2                                  |
             Title | Feast!                             |
            Bonus1 | Food                               |
            Bonus2 | Food                               |
            Trash1 | Sheep                              |
            Trash2 | Grain                              |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 4.0                                |
  Est. Actions Max | 4.0                                |
Est. VP/Action Min | 7.5                                |
Est. VP/Action Max |                                    |
             Snark | You didn't pick up an engine needi |
                   | ng these, did you??                |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 2                                  |
             Title | Feast!                             |
            Bonus1 | Food                               |
            Bonus2 | Food                               |
            Trash1 | Sheep                              |
            Trash2 | Grain                              |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 4.0                                |
  Est. Actions Max | 4.0                                |
Est. VP/Action Min | 7.5                                |
Est. VP/Action Max |                                    |
             Snark | You didn't pick up an engine needi |
                   | ng these, did you??                |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Metagaming Card                |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Clay                               |
            Trash2 | Sheep                              |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | When played, you may look at the m |
                   | idgame cards set aside in the box. |
                   |                                    |
                VP | 40                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 3.6923076923076925                 |
  Est. Actions Max | 3.6923076923076925                 |
Est. VP/Action Min | 10.833333333333332                 |
Est. VP/Action Max |                                    |
             Snark | If the instructions say "put this  |
                   | back in the box", then it can't be |
                   |  part of the game. That's a rule.  |
                   | And we just broke it.              |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Military Building              |
            Bonus1 | Soldier                            |
            Bonus2 | Soldier                            |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 | Building                           |
         Requires2 | Army                               |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 60                                 |
        VP + Climb | 60                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 7.0                                |
Est. VP/Action Min | 8.571428571428571                  |
Est. VP/Action Max | 30.0                               |
             Snark | Childish aggression combined with  |
                   | literal monumental ambition.       |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Food-to-Climb Engine Building  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Wood                               |
            Trash2 |                                    |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | You may spend an action to trash 1 |
                   |  Food for 1 Climb. May be part of  |
                   | a chain.                           |
                VP | 30                                 |
        VP + Climb | 50                                 |
  Est. Actions Min | 2.6470588235294117                 |
  Est. Actions Max | 5.647058823529411                  |
Est. VP/Action Min | 8.854166666666668                  |
Est. VP/Action Max | 18.88888888888889                  |
             Snark | A building wher you eat food and c |
                   | limb your way to "success"... also |
                   |  called a high school cafeteria.   |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starter                            |
               qty | 1                                  |
             Title | The Milk Engine                    |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Cattle                             |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Teets!                             |
       Description | Once per turn, you may use an acti |
                   | on to get a resource card with Mil |
                   | k from the discard pile.           |
                VP | 40                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 13.333333333333334                 |
Est. VP/Action Max |                                    |
             Snark | Huh… I guess that cattle was femal |
                   | e.                                 |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Time to Build Fences               |
            Bonus1 | Sheep                              |
            Bonus2 | Cattle                             |
            Trash1 | Wood                               |
            Trash2 | Grain                              |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.6470588235294117                 |
  Est. Actions Max | 3.6470588235294117                 |
Est. VP/Action Min | 8.225806451612904                  |
Est. VP/Action Max |                                    |
             Snark | Is it me or does it feel like this |
                   |  is your excuse to change strategi |
                   | es?                                |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Even More Sheep!                   |
            Bonus1 | Sheep                              |
            Bonus2 | Sheep                              |
            Trash1 | Sheep                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Sheep: the grain of animals.       |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 2                                  |
             Title | Even More Grain!                   |
            Bonus1 | Grain                              |
            Bonus2 | Grain                              |
            Trash1 | Grain                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | You may trash this card for 1 Food |
                   |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Grain: the rabbits of plants.      |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 2                                  |
             Title | Even More Grain!                   |
            Bonus1 | Grain                              |
            Bonus2 | Grain                              |
            Trash1 | Grain                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | You may trash this card for 1 Food |
                   |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Grain: the rabbits of plants.      |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Cheap Building                 |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Wood                               |
            Trash2 | Wood                               |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 60                                 |
        VP + Climb | 60                                 |
  Est. Actions Min | 3.2941176470588234                 |
  Est. Actions Max | 6.294117647058823                  |
Est. VP/Action Min | 9.532710280373832                  |
Est. VP/Action Max | 18.214285714285715                 |
             Snark | Hey, VPs are VPs. Every little bit |
                   |  counts.                           |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Combo Building                 |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Clay                               |
            Trash2 | Wood                               |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 70                                 |
        VP + Climb | 70                                 |
  Est. Actions Min | 3.339366515837104                  |
  Est. Actions Max | 6.339366515837105                  |
Est. VP/Action Min | 11.04211277658815                  |
Est. VP/Action Max | 20.962059620596204                 |
             Snark | Nice! Way to get some points on th |
                   | e board.                           |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Red Building                   |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Clay                               |
            Trash2 | Clay                               |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 70                                 |
        VP + Climb | 70                                 |
  Est. Actions Min | 3.384615384615385                  |
  Est. Actions Max | 6.384615384615385                  |
Est. VP/Action Min | 10.963855421686747                 |
Est. VP/Action Max | 20.68181818181818                  |
             Snark | Good move. Not Great. What else ar |
                   | e you going to do to get points? N |
                   | o pressure. But you should think o |
                   | f something. Now.                  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Cheap Stone Building           |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Wood                               |
            Trash2 | Stone                              |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 80                                 |
        VP + Climb | 80                                 |
  Est. Actions Min | 3.6470588235294117                 |
  Est. Actions Max | 6.647058823529411                  |
Est. VP/Action Min | 12.035398230088497                 |
Est. VP/Action Max | 21.935483870967744                 |
             Snark | Just when you think you've pulled  |
                   | ahead, someone else will play a bi |
                   | gger building than this.           |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Red Stone Building             |
            Bonus1 |                                    |
